 501.00 -0.002322479141430 -0.002336276329243  0.180432001123660 -0.000000081964383 -0.180025424328673 0.181509117990961
 499.09 -0.002352302857706 -0.002366404901514  0.180151710570188 -0.000000084541749 -0.179741974492588 0.181237057260029
 497.18 -0.002382382308353 -0.002396795183378  0.179871986342527 -0.000000087194574 -0.179459065661244 0.180965628051059
 495.29 -0.002412719040236 -0.002427448829485  0.179592829933107 -0.000000089927198 -0.179176699066294 0.180694832419698
 493.40 -0.002443314602620 -0.002458367498692  0.179314242822033 -0.000000092738317 -0.178894875979725 0.180424672408365
 491.52 -0.002474170547069 -0.002489552853988  0.179036226477134 -0.000000095634004 -0.178613597635359 0.180155150059915
 489.64 -0.002505288427340 -0.002521006562413  0.178758782354100 -0.000000098615126 -0.178332865311253 0.179886267405926
 487.77 -0.002536669799269 -0.002552730294972  0.178481911896482 -0.000000101684286 -0.178052680158830 0.179618026470820
 485.91 -0.002568316220665 -0.002584725726561  0.178205616535852 -0.000000104843217 -0.177773043445739 0.179350429278151
 484.06 -0.002600229251197 -0.002616994535885  0.177929897691825 -0.000000108096258 -0.177493956314296 0.179083477837814
 482.21 -0.002632410452283 -0.002649538405370  0.177654756772074 -0.000000111444274 -0.177215419952352 0.178817174157752
 480.37 -0.002664861386975 -0.002682359021083  0.177380195172360 -0.000000114890736 -0.176937435521739 0.178551520238534
 478.54 -0.002697583619844 -0.002715458072648  0.177106214276679 -0.000000118438245 -0.176660004169975 0.178286518076609
 476.71 -0.002730578716865 -0.002748837253158  0.176832815457130 -0.000000122088971 -0.176383127011188 0.178022169659538
 474.89 -0.002763848245299 -0.002782498259090  0.176560000074013 -0.000000125848117 -0.176106805213280 0.177758476973796
 473.08 -0.002797393773573 -0.002816442790218  0.176287769475860 -0.000000129715249 -0.175831039815350 0.177495441992413
 471.28 -0.002831216871162 -0.002850672549529  0.176016124999365 -0.000000133695572 -0.175555831970122 0.177233066691890
 469.48 -0.002865319108463 -0.002885189243121  0.175745067969384 -0.000000137792989 -0.175281182691975 0.176971353035285
 467.69 -0.002899702056677 -0.002919994580131  0.175474599698996 -0.000000142010102 -0.175007093102843 0.176710302987170
 465.90 -0.002934367287682 -0.002955090272629  0.175204721489386 -0.000000146347778 -0.174733564187613 0.176449918496942
 464.13 -0.002969316373907 -0.002990478035533  0.174935434629864 -0.000000150814257 -0.174460597044367 0.176190201521369
 462.35 -0.003004550888206 -0.003026159586516  0.174666740397829 -0.000000155409973 -0.174188192625466 0.175931154000305
 460.59 -0.003040072403728 -0.003062136645909  0.174398640058732 -0.000000160138396 -0.173916351982589 0.175672777872737
 458.83 -0.003075882493789 -0.003098410936610  0.174131134865991 -0.000000165003428 -0.173645076106260 0.175415075073966
 457.08 -0.003111982731737 -0.003134984183989  0.173864226060970 -0.000000170008972 -0.173374365938436 0.175158047531271
 455.34 -0.003148374690823 -0.003171858115783  0.173597914872906 -0.000000175160234 -0.173104222454031 0.174901697166507
 453.60 -0.003185059944067 -0.003209034462010  0.173332202518870 -0.000000180460681 -0.172834646584158 0.174646025899580
 451.87 -0.003222040064116 -0.003246514954863  0.173067090203657 -0.000000185913784 -0.172565639289420 0.174391035638903
 450.15 -0.003259316623116 -0.003284301328611  0.172802579119746 -0.000000191524747 -0.172297201469704 0.174136728292454
 448.43 -0.003296891192565 -0.003322395319501  0.172538670447181 -0.000000197295305 -0.172029334040945 0.173883105761058
 446.72 -0.003334765343179 -0.003360798665657  0.172275365353508 -0.000000203231529 -0.171762037854024 0.173630169939898
 445.01 -0.003372940644748 -0.003399513106974  0.172012664993710 -0.000000209341659 -0.171495313783243 0.173377922723077
 443.32 -0.003411418665994 -0.003438540385020  0.171750570510047 -0.000000215624827 -0.171229162709407 0.173126365989084
 441.63 -0.003450200974427 -0.003477882242926  0.171489083031990 -0.000000222090141 -0.170963585456076 0.172875501622694
 439.94 -0.003489289136197 -0.003517540425288  0.171228203676164 -0.000000228737168 -0.170698582862856 0.172625331493290
 438.26 -0.003528684715951 -0.003557516678054  0.170967933546138 -0.000000235578484 -0.170434155704734 0.172375857473506
 436.59 -0.003568389276682 -0.003597812748422  0.170708273732377 -0.000000242612354 -0.170170304786624 0.172127081422531
 434.92 -0.003608404379579 -0.003638430384734  0.170449225312129 -0.000000249850488 -0.169907030868333 0.171879005198472
 433.27 -0.003648731583878 -0.003679371336358  0.170190789349269 -0.000000257293319 -0.169644334756074 0.171631630653578
 431.61 -0.003689372446707 -0.003720637353592  0.169932966894181 -0.000000264947786 -0.169382217141568 0.171384959633814
 429.97 -0.003730328522932 -0.003762230187545  0.169675758983645 -0.000000272822129 -0.169120678767277 0.171138993977334
 428.32 -0.003771601365005 -0.003804151590030  0.169419166640706 -0.000000280919819 -0.168859720323187 0.170893735516875
 426.69 -0.003813192522803 -0.003846403313446  0.169163190874483 -0.000000289247359 -0.168599342552193 0.170649186084521
 425.06 -0.003855103543474 -0.003888987110675  0.168907832680102 -0.000000297812556 -0.168339546077062 0.170405347501516
 423.44 -0.003897335971273 -0.003931904734963  0.168653093038480 -0.000000306619747 -0.168080331554386 0.170162221583246
 421.83 -0.003939891347407 -0.003975157939806  0.168398972916223 -0.000000315676305 -0.167821699672416 0.169919810137295
 420.22 -0.003982771209868 -0.004018748478837  0.168145473265464 -0.000000324990035 -0.167563651002310 0.169678114970810
 418.61 -0.004025977093271 -0.004062678105708  0.167892595023693 -0.000000334569178 -0.167306186168135 0.169437137882266
 417.02 -0.004069510528690 -0.004106948573978  0.167640339113585 -0.000000344415468 -0.167049305749289 0.169196880662331
 415.42 -0.004113373043493 -0.004151561636990  0.167388706442895 -0.000000354541917 -0.166793010298281 0.168957345095169
 413.84 -0.004157566161172 -0.004196519047760  0.167137697904234 -0.000000364955462 -0.166537300396244 0.168718532963640
 412.26 -0.004202091401177 -0.004241822558853  0.166887314374916 -0.000000375661308 -0.166282176557522 0.168480446034128
 410.69 -0.004246950278744 -0.004287473922270  0.166637556716784 -0.000000386668995 -0.166027639309473 0.168243086074316
 409.12 -0.004292144304725 -0.004333474889319  0.166388425776022 -0.000000397988066 -0.165773689092714 0.168006454846683
 407.56 -0.004337674985417 -0.004379827210504  0.166139922383020 -0.000000409622856 -0.165520326425930 0.167770554095059
 406.01 -0.004383543822384 -0.004426532635402  0.165892047352155 -0.000000421586377 -0.165267551750607 0.167535385575852
 404.46 -0.004429752312288 -0.004473592912536  0.165644801481583 -0.000000433884699 -0.165015365515171 0.167300951020317
 402.91 -0.004476301946709 -0.004521009789261  0.165398185553109 -0.000000446528231 -0.164763768078710 0.167067252160574
 401.38 -0.004523194211967 -0.004568785011636  0.165152200331969 -0.000000459525647 -0.164512759903528 0.166834290720504
 399.84 -0.004570430588948 -0.004616920324302  0.164906846566610 -0.000000472886487 -0.164262341292333 0.166602068415317
 398.32 -0.004618012552919 -0.004665417470357  0.164662124988511 -0.000000486621160 -0.164012512664929 0.166370586958918
 396.80 -0.004665941573352 -0.004714278191239  0.164418036312051 -0.000000500742676 -0.163763274286730 0.166139848056541
 395.29 -0.004714219113738 -0.004763504226590  0.164174581234160 -0.000000515252771 -0.163514626528097 0.165909853390000
 393.78 -0.004762846631407 -0.004813097314140  0.163931760434261 -0.000000530173995 -0.163266569632760 0.165680604659324
 392.28 -0.004811825577342 -0.004863059189575  0.163689574573961 -0.000000545508083 -0.163019103858325 0.165452103535052
 390.78 -0.004861157395992 -0.004913391586419  0.163448024296912 -0.000000561268046 -0.162772229487552 0.165224351690325
 389.29 -0.004910843525090 -0.004964096235900  0.163207110228560 -0.000000577468628 -0.162525946726007 0.164997350790043
 387.80 -0.004960885395462 -0.005015174866821  0.162966832975894 -0.000000594116770 -0.162280255787059 0.164771102486097
 386.32 -0.005011284430838 -0.005066629205447  0.162727193127331 -0.000000611228949 -0.162035156815558 0.164545608427775
 384.85 -0.005062042047665 -0.005118460975359  0.162488191252413 -0.000000628816443 -0.161790649971100 0.164320870253958
 383.38 -0.005113159654914 -0.005170671897344  0.162249827901590 -0.000000646893129 -0.161546735402002 0.164096889591816
 381.92 -0.005164638653887 -0.005223263689250  0.162012103606012 -0.000000665465946 -0.161303413202807 0.163873668061146
 380.46 -0.005216480438029 -0.005276238065867  0.161775018877333 -0.000000684555711 -0.161060683459384 0.163651207279146
 379.01 -0.005268686392728 -0.005329596738804  0.161538574207430 -0.000000704174566 -0.160818546233316 0.163429508850000
 377.56 -0.005321257895125 -0.005383341416343  0.161302770068167 -0.000000724332920 -0.160577001550623 0.163208574360980
 376.12 -0.005374196313913 -0.005437473803319  0.161067606911209 -0.000000745048120 -0.160336049427785 0.162988405404563
 374.69 -0.005427503009146 -0.005491995601000  0.160833085167787 -0.000000766335780 -0.160095689847456 0.162769003554143
 373.26 -0.005481179332038 -0.005546908506939  0.160599205248366 -0.000000788210643 -0.159855922769736 0.162550370381813
 371.83 -0.005535226624763 -0.005602214214854  0.160365967542544 -0.000000810687455 -0.159616748124369 0.162332507432344
 370.42 -0.005589646220257 -0.005657914414503  0.160133372418662 -0.000000833782696 -0.159378165824620 0.162115416267854
 369.00 -0.005644439442018 -0.005714010791538  0.159901420223709 -0.000000857511111 -0.159140175747322 0.161899098416636
